greedy     evap       t_max      max_diff   avg_diff   mid_diff  
0,10       0,10       5          8541,00    5919,00    5703,00   
0,25       0,10       5          7061,00    3878,50    4013,00   
0,50       0,10       5          5093,00    2712,20    2448,50   
0,75       0,10       5          3291,00    2360,70    2706,00   
0,90       0,10       5          3270,00    1924,40    2070,00   
0,10       0,25       5          6812,00    4720,80    4445,00   
0,25       0,25       5          6527,00    3303,80    3230,00   
0,50       0,25       5          5324,00    3820,50    4180,50   
0,75       0,25       5          3337,00    2744,60    2865,50   
0,90       0,25       5          3991,00    2661,40    2425,50   
0,10       0,50       5          7599,00    4676,70    4478,50   
0,25       0,50       5          5989,00    3510,60    3575,00   
0,50       0,50       5          5089,00    2716,50    2894,00   
0,75       0,50       5          4373,00    2853,30    3253,50   
0,90       0,50       5          3971,00    2737,70    3283,00   
0,10       0,75       5          8517,00    4284,50    4195,50   
0,25       0,75       5          6925,00    5373,00    5380,00   
0,50       0,75       5          5572,00    2388,50    2056,00   
0,75       0,75       5          3902,00    2546,80    2718,00   
0,90       0,75       5          4353,00    3051,70    2834,50   
0,10       0,90       5          8838,00    5486,10    5653,50   
0,25       0,90       5          7199,00    4029,20    3638,00   
0,50       0,90       5          5405,00    3255,80    3251,00   
0,75       0,90       5          4049,00    2692,20    2570,50   
0,90       0,90       5          3125,00    2458,50    2438,00   
0,10       0,10       10         6875,00    4636,70    4564,50   
0,25       0,10       10         5741,00    3697,50    3374,50   
0,50       0,10       10         3482,00    2142,00    2276,00   
0,75       0,10       10         3345,00    1798,50    1605,00   
0,90       0,10       10         2582,00    1574,90    1893,00   
0,10       0,25       10         6155,00    4054,50    4153,00   
0,25       0,25       10         5262,00    3497,30    3654,00   
0,50       0,25       10         5757,00    2217,80    2001,00   
0,75       0,25       10         2436,00    1384,50    1225,50   
0,90       0,25       10         3675,00    2187,80    2214,50   
0,10       0,50       10         8844,00    5240,10    5025,00   
0,25       0,50       10         6450,00    4276,30    4058,50   
0,50       0,50       10         3963,00    1772,50    1489,50   
0,75       0,50       10         2948,00    1884,40    2180,00   
0,90       0,50       10         3215,00    2203,30    2218,50   
0,10       0,75       10         6362,00    4122,60    3940,50   
0,25       0,75       10         4847,00    3165,60    3340,00   
0,50       0,75       10         3329,00    1918,80    2151,50   
0,75       0,75       10         3352,00    1622,70    1585,50   
0,90       0,75       10         3866,00    1931,30    2052,00   
0,10       0,90       10         5646,00    3637,90    3531,00   
0,25       0,90       10         3976,00    2534,20    2466,50   
0,50       0,90       10         4411,00    2464,50    2314,00   
0,75       0,90       10         3328,00    1819,50    1623,00   
0,90       0,90       10         3083,00    1976,00    2172,00   
0,10       0,10       50         8096,00    5484,30    5850,00   
0,25       0,10       50         6120,00    3356,10    3293,50   
0,50       0,10       50         2586,00    1216,30    1045,50   
0,75       0,10       50         1919,00    343,50     0,00      
0,90       0,10       50         1023,00    416,00     191,50    
0,10       0,25       50         8095,00    3631,50    2888,50   
0,25       0,25       50         6942,00    3482,10    3324,00   
0,50       0,25       50         3211,00    857,20     750,00    
0,75       0,25       50         1554,00    551,80     383,00    
0,90       0,25       50         964,00     484,50     636,00    
0,10       0,50       50         7323,00    4180,80    4346,50   
0,25       0,50       50         4852,00    2281,90    2014,50   
0,50       0,50       50         2255,00    1092,00    1103,00   
0,75       0,50       50         1343,00    524,60     383,00    
0,90       0,50       50         1774,00    550,40     566,50    
0,10       0,75       50         7943,00    4567,70    3833,00   
0,25       0,75       50         2979,00    1717,80    1583,00   
0,50       0,75       50         2438,00    1150,60    1301,50   
0,75       0,75       50         1341,00    514,80     509,50    
0,90       0,75       50         1309,00    819,40     893,00    
0,10       0,90       50         3919,00    1588,20    1313,00   
0,25       0,90       50         2247,00    1280,00    1247,50   
0,50       0,90       50         1347,00    588,60     566,50    
0,75       0,90       50         1692,00    1182,20    1408,50   
0,90       0,90       50         2064,00    1287,70    1344,00   
0,10       0,10       100        6629,00    3953,90    3746,50   
0,25       0,10       100        4672,00    2588,30    2723,00   
0,50       0,10       100        2176,00    1062,20    930,50    
0,75       0,10       100        897,00     611,50     693,00    
0,90       0,10       100        954,00     210,30     0,00      
0,10       0,25       100        6817,00    2858,80    2669,00   
0,25       0,25       100        5577,00    2785,00    2459,50   
0,50       0,25       100        2307,00    1370,00    1408,50   
0,75       0,25       100        1133,00    341,50     383,00    
0,90       0,25       100        964,00     542,00     693,00    
0,10       0,50       100        9780,00    4989,70    5135,00   
0,25       0,50       100        5635,00    2681,30    2339,50   
0,50       0,50       100        2097,00    968,70     1078,00   
0,75       0,50       100        1133,00    317,50     191,50    
0,90       0,50       100        893,00     204,20     0,00      
0,10       0,75       100        6865,00    4131,40    3909,00   
0,25       0,75       100        5467,00    2141,70    1924,50   
0,50       0,75       100        2436,00    1215,20    1341,00   
0,75       0,75       100        964,00     352,40     191,50    
0,90       0,75       100        1133,00    523,00     750,00    
0,10       0,90       100        2333,00    1302,40    1296,00   
0,25       0,90       100        1861,00    1004,50    959,00    
0,50       0,90       100        1133,00    339,90     191,50    
0,75       0,90       100        1468,00    672,70     750,00    
0,90       0,90       100        1656,00    600,10     383,00    
0,10       0,10       200        6531,00    4768,50    4993,00   
0,25       0,10       200        4923,00    2711,70    2799,00   
0,50       0,10       200        2885,00    1208,30    821,50    
0,75       0,10       200        893,00     255,20     0,00      
0,90       0,10       200        750,00     113,30     0,00      
0,10       0,25       200        6425,00    4382,40    4955,00   
0,25       0,25       200        4304,00    2972,30    2874,50   
0,50       0,25       200        1982,00    613,40     509,50    
0,75       0,25       200        897,00     370,50     383,00    
