1,0.1,0.1,0.1,
2,0.1,0.2,0.2,
3,0.4,0.3,0.4,
4,0.6,0.8,0.7,
5,1.0,1.3,1.1,
6,1.8,2.1,1.8,
7,2.8,3.2,2.8,
8,4.1,4.6,3.9,
9,5.7,6.3,5.4,
10,7.7,8.300000000000001,7.1,
11,10.1,10.9,9.300000000000001,
12,13.1,13.8,11.7,
13,16.4,17.2,14.7,
14,20.6,21.3,18.1,
15,25.0,25.9,22.1,
16,30.3,31.0,26.3,
17,36.2,36.9,31.1,
18,42.7,43.4,36.9,
19,50.4,50.8,43.1,
20,59.0,58.6,49.8,
21,67.59999999999999,67.7,57.3,
22,78.09999999999999,77.3,65.59999999999999,
23,88.7,88.09999999999999,74.40000000000001,
24,100.9,99.40000000000001,84.3,
25,113.6,112.2,95.0,
26,128.3,125.0,106.4,
27,142.9,140.3,118.7,
28,158.5,155.5,131.9,
29,176.4,172.6,146.3,
30,194.8,189.7,161.0,
31,215.9,209.9,176.9,
32,236.1,230.1,193.7,
33,258.6,252.4,212.9,
34,282.7,273.9,232.2,
35,308.1,299.5,253.1,
36,334.9,324.1,274.5,
37,364.0,352.9,297.5,
38,396.2,380.4,320.3,
39,427.9,411.1,347.3,
40,458.7,442.3,373.6,
